Dates,MaxTemp,MinTemp,Precipitation,Snowfall,Snowdepth,MaxTscore,MinTscore,TotalTscore,SnowFscore,SnowDscore,TotalSscore,AWSSIscore,AccumTscore,AccumSscore,AccumAWSSI
01-Jul-1881,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Jul-1881,81,54,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-1881,81,60,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Jul-1881,86,66,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Jul-1881,90,69,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Jul-1881,89,72,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Jul-1881,81,66,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Jul-1881,90,67,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Jul-1881,93,70,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Jul-1881,88,67,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Jul-1881,85,62,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Jul-1881,92,65,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul-1881,88,68,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul-1881,82,63,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul-1881,85,62,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul-1881,86,68,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Jul-1881,78,58,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul-1881,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Jul-1881,84,57,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul-1881,81,60,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Jul-1881,83,62,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul-1881,79,61,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jul-1881,83,63,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Jul-1881,84,60,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul-1881,77,62,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Jul-1881,78,56,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul-1881,80,55,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Jul-1881,81,56,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul-1881,82,57,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Jul-1881,81,56,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-1881,84,61,0,0,0,0,0,0,0,0,0,0,0,0,0
01-Aug-1881,84,59,0,0,0,0,0,0,0,0,0,0,0,0,0
02-Aug-1881,90,63,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-1881,93,69,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-1881,96,70,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-1881,97,70,0,0,0,0,0,0,0,0,0,0,0,0,0
06-Aug-1881,80,68,0,0,0,0,0,0,0,0,0,0,0,0,0
07-Aug-1881,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0
08-Aug-1881,77,52,0,0,0,0,0,0,0,0,0,0,0,0,0
09-Aug-1881,87,60,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Aug-1881,80,71,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Aug-1881,80,56,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Aug-1881,96,65,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Aug-1881,80,65,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Aug-1881,78,53,0,0,0,0,0,0,0,0,0,0,0,0,0
